name	taxonomy_id	taxonomy_lvl	ExtractionBlank_bracken_G.txt_num	ExtractionBlank_bracken_G.txt_frac	Serife-CON1_bracken_G.txt_num	Serife-CON1_bracken_G.txt_frac	Serife-CON2_bracken_G.txt_num	Serife-CON2_bracken_G.txt_frac	Serife-CON3_bracken_G.txt_num	Serife-CON3_bracken_G.txt_frac	Serife-CON4_bracken_G.txt_num	Serife-CON4_bracken_G.txt_frac	Serife-CON5_bracken_G.txt_num	Serife-CON5_bracken_G.txt_frac	Serife-CON6_bracken_G.txt_num	Serife-CON6_bracken_G.txt_frac	Serife-KD1_bracken_G.txt_num	Serife-KD1_bracken_G.txt_frac	Serife-KD2_bracken_G.txt_num	Serife-KD2_bracken_G.txt_frac	Serife-KD3_bracken_G.txt_num	Serife-KD3_bracken_G.txt_frac	Serife-KD4_bracken_G.txt_num	Serife-KD4_bracken_G.txt_frac	Serife-KD5_bracken_G.txt_num	Serife-KD5_bracken_G.txt_frac	Serife-KD6_bracken_G.txt_num	Serife-KD6_bracken_G.txt_frac	Serife-KD7_bracken_G.txt_num	Serife-KD7_bracken_G.txt_frac	Serife-KD8_bracken_G.txt_num	Serife-KD8_bracken_G.txt_frac	Serife-MMKD1_bracken_G.txt_num	Serife-MMKD1_bracken_G.txt_frac	Serife-MMKD2_bracken_G.txt_num	Serife-MMKD2_bracken_G.txt_frac	Serife-MMKD3_bracken_G.txt_num	Serife-MMKD3_bracken_G.txt_frac	Serife-MMKD4_bracken_G.txt_num	Serife-MMKD4_bracken_G.txt_frac	Serife-MMKD5_bracken_G.txt_num	Serife-MMKD5_bracken_G.txt_frac	Serife-MMKD6_bracken_G.txt_num	Serife-MMKD6_bracken_G.txt_frac	Serife-MMKD7_bracken_G.txt_num	Serife-MMKD7_bracken_G.txt_frac	Serife-MMKD8_bracken_G.txt_num	Serife-MMKD8_bracken_G.txt_frac	Serife-SCOP1_bracken_G.txt_num	Serife-SCOP1_bracken_G.txt_frac	Serife-SCOP2_bracken_G.txt_num	Serife-SCOP2_bracken_G.txt_frac	Serife-SCOP3_bracken_G.txt_num	Serife-SCOP3_bracken_G.txt_frac	Serife-SCOP4_bracken_G.txt_num	Serife-SCOP4_bracken_G.txt_frac	Serife-SCOP5_bracken_G.txt_num	Serife-SCOP5_bracken_G.txt_frac	Serife-SCOP6_bracken_G.txt_num	Serife-SCOP6_bracken_G.txt_frac
Bacteroides	816	G	968	0.11419	294748	0.06687	47813	0.01768	388144	0.07777	148818	0.03934	446543	0.08397	134260	0.04067	245353	0.21299	410190	0.25082	435126	0.16826	610102	0.14496	1669812	0.26276	1448652	0.19866	3007192	0.21688	2674090	0.29048	43625	0.00937	79200	0.02273	35960	0.02726	87333	0.01720	95675	0.10921	45800	0.04110	81654	0.01691	84173	0.03687	169695	0.04765	23292	0.01601	44861	0.00958	172820	0.03075	105004	0.02964	239647	0.04635
Phocaeicola	909656	G	745	0.08788	51978	0.01179	8858	0.00328	71225	0.01427	32827	0.00868	83505	0.01570	25901	0.00785	78382	0.06804	145124	0.08874	179044	0.06924	165626	0.03935	512107	0.08058	466264	0.06394	904950	0.06526	811374	0.08814	8747	0.00188	20234	0.00581	11975	0.00908	12300	0.00242	37949	0.04332	7404	0.00664	11779	0.00244	21719	0.00951	44688	0.01255	5233	0.00360	12012	0.00257	73213	0.01303	25254	0.00713	24858	0.00481
Segatella	2974251	G	1138	0.13425	135662	0.03078	63299	0.02341	408404	0.08183	55592	0.01470	513578	0.09658	56524	0.01712	33867	0.02940	24498	0.01498	200715	0.07762	69977	0.01663	167069	0.02629	99167	0.01360	1133235	0.08173	107959	0.01173	4100	0.00088	6666	0.00191	5696	0.00432	9197	0.00181	29848	0.03407	8471	0.00760	15930	0.00330	10710	0.00469	99189	0.02785	15143	0.01041	23649	0.00505	80590	0.01434	37998	0.01072	40792	0.00789
Prevotella	838	G	15	0.00177	201608	0.04574	27796	0.01028	310951	0.06231	89636	0.02370	254679	0.04789	96612	0.02927	59897	0.05200	54081	0.03307	118652	0.04588	146946	0.03491	213469	0.03359	174871	0.02398	494378	0.03565	243471	0.02645	11243	0.00241	17852	0.00512	7149	0.00542	20925	0.00412	24032	0.02743	15806	0.01418	35693	0.00739	22029	0.00965	129663	0.03641	12282	0.00844	20873	0.00446	117272	0.02087	50337	0.01421	40624	0.00786
Paraprevotella	577309	G	13	0.00153	11626	0.00264	2520	0.00093	19041	0.00382	6525	0.00173	13221	0.00249	7877	0.00239	4524	0.00393	6289	0.00385	8045	0.00311	12796	0.00304	23791	0.00374	21399	0.00293	48660	0.00351	32326	0.00351	1431	0.00031	2134	0.00061	825	0.00063	2677	0.00053	1651	0.00188	1553	0.00139	2554	0.00053	2649	0.00116	10178	0.00286	1431	0.00098	2323	0.00050	9837	0.00175	6544	0.00185	3638	0.00070
Hoylesella	2974257	G	1	0.00012	20004	0.00454	2846	0.00105	29438	0.00590	9050	0.00239	23178	0.00436	10026	0.00304	5560	0.00483	5327	0.00326	11060	0.00428	15155	0.00360	20713	0.00326	16559	0.00227	46366	0.00334	22634	0.00246	961	0.00021	1628	0.00047	842	0.00064	2643	0.00052	2115	0.00241	1836	0.00165	3710	0.00077	2567	0.00112	13654	0.00383	1553	0.00107	2037	0.00044	13060	0.00232	6316	0.00178	4174	0.00081
Parabacteroides	375288	G	194	0.02289	65499	0.01486	11106	0.00411	75083	0.01504	32686	0.00864	113836	0.02141	28882	0.00875	60670	0.05267	72095	0.04408	94084	0.03638	122519	0.02911	277122	0.04361	265960	0.03647	492924	0.03555	383689	0.04168	28301	0.00608	19357	0.00556	8700	0.00659	23340	0.00460	31688	0.03617	12104	0.01086	19361	0.00401	21251	0.00931	41738	0.01172	6308	0.00433	18330	0.00392	38614	0.00687	29513	0.00833	74179	0.01435
Alistipes	239759	G	160	0.01887	40853	0.00927	8263	0.00306	56870	0.01140	25219	0.00667	42364	0.00797	23071	0.00699	14923	0.01295	21089	0.01290	20750	0.00802	44369	0.01054	92839	0.01461	97306	0.01334	144898	0.01045	157023	0.01706	13874	0.00298	19311	0.00554	4383	0.00332	19933	0.00393	9432	0.01077	7696	0.00691	24359	0.00504	16908	0.00741	28193	0.00792	5653	0.00388	15239	0.00326	32058	0.00570	20031	0.00565	89088	0.01723
Odoribacter	283168	G	15	0.00177	3213	0.00073	668	0.00025	4061	0.00081	2187	0.00058	3173	0.00060	2090	0.00063	2203	0.00191	3031	0.00185	3681	0.00142	5240	0.00125	12498	0.00197	12714	0.00174	21643	0.00156	19528	0.00212	548	0.00012	1456	0.00042	264	0.00020	731	0.00014	684	0.00078	453	0.00041	1310	0.00027	704	0.00031	2825	0.00079	349	0.00024	803	0.00017	3103	0.00055	1496	0.00042	2965	0.00057
Butyricimonas	574697	G	8	0.00094	22641	0.00514	2703	0.00100	26555	0.00532	8835	0.00234	31476	0.00592	10120	0.00307	9442	0.00820	13406	0.00820	12551	0.00485	17046	0.00405	55891	0.00879	82575	0.01132	79128	0.00571	94705	0.01029	7092	0.00152	5462	0.00157	3865	0.00293	5460	0.00108	15807	0.01804	5898	0.00529	7027	0.00146	9762	0.00428	14223	0.00399	1113	0.00076	2866	0.00061	13423	0.00239	7174	0.00202	6828	0.00132
