#mpa_vJun23_CHOCOPhlAnSGB_202403
clade_name	ExtractionBlank_S77_R1_cat_kneaddata	Serife-CON1_S49_R1_cat_kneaddata	Serife-CON2_S50_R1_cat_kneaddata	Serife-CON3_S51_R1_cat_kneaddata	Serife-CON4_S52_R1_cat_kneaddata	Serife-CON5_S53_R1_cat_kneaddata	Serife-CON6_S54_R1_cat_kneaddata	Serife-KD1_S69_R1_cat_kneaddata	Serife-KD2_S70_R1_cat_kneaddata	Serife-KD3_S71_R1_cat_kneaddata	Serife-KD4_S72_R1_cat_kneaddata	Serife-KD5_S73_R1_cat_kneaddata	Serife-KD6_S74_R1_cat_kneaddata	Serife-KD7_S75_R1_cat_kneaddata	Serife-KD8_S76_R1_cat_kneaddata	Serife-MMKD1_S61_R1_cat_kneaddata	Serife-MMKD2_S62_R1_cat_kneaddata	Serife-MMKD3_S63_R1_cat_kneaddata	Serife-MMKD4_S64_R1_cat_kneaddata	Serife-MMKD5_S65_R1_cat_kneaddata	Serife-MMKD6_S66_R1_cat_kneaddata	Serife-MMKD7_S67_R1_cat_kneaddata	Serife-MMKD8_S68_R1_cat_kneaddata	Serife-SCOP1_S55_R1_cat_kneaddata	Serife-SCOP2_S56_R1_cat_kneaddata	Serife-SCOP3_S57_R1_cat_kneaddata	Serife-SCOP4_S58_R1_cat_kneaddata	Serife-SCOP5_S59_R1_cat_kneaddata	Serife-SCOP6_S60_R1_cat_kneaddata
UNCLASSIFIED	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria	0.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.92751	100.0	99.97624	99.96395	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Bacteroidota	0.0	35.10792	23.47109	50.89423	34.47182	44.86648	34.96047	79.47308	74.86734	80.89055	59.92979	68.29853	66.30508	75.07418	77.17929	11.865	25.1964	14.63091	16.90911	59.28202	32.99375	45.90422	31.27227	41.20536	20.99777	20.97257	15.30545	34.13741	30.26187
k__Bacteria|p__Firmicutes	0.0	33.47975	48.39791	15.81823	24.32871	23.48848	30.77036	11.75058	11.3076	11.68766	25.69813	17.84287	26.13749	18.75889	14.43419	75.87726	55.05355	72.63149	66.50194	22.25984	56.22383	45.61955	54.02433	24.45903	42.98072	61.02259	18.55181	31.42235	43.8305
k__Bacteria|p__Verrucomicrobia	0.0	16.82823	0.0	5.67649	2.35218	22.54874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25562	0.0	0.0	1.3446	0.85268	1.05689
k__Bacteria|p__Proteobacteria	0.0	9.39419	9.73612	9.23159	4.92154	5.75991	10.78327	3.64188	8.49689	2.80024	5.64107	9.6485	5.5239	3.69587	5.58852	0.18527	1.09797	2.90993	1.14367	12.48237	1.03873	1.6796	2.92143	5.50247	7.48499	1.48087	4.17756	1.89348	2.3092
k__Bacteria|p__Spirochaetes	0.0	4.47069	16.75011	17.83038	33.45111	1.82497	20.43374	2.3858	2.03929	0.10236	4.70278	2.23997	0.87664	0.21256	1.73132	1.55406	12.04851	3.55708	7.81971	3.31693	5.43738	3.17351	2.97316	28.4612	26.93056	5.38706	60.39015	28.10195	10.12725
k__Bacteria|p__Candidatus_Melainabacteria	0.0	0.48587	0.0	0.0647	0.0	0.36957	0.10388	0.00806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00187	0.0	0.0	0.0	0.43197	0.0	0.06981	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria	0.0	0.19324	1.39038	0.34605	0.26829	0.72219	0.67897	2.73326	3.00117	4.44102	3.96378	1.79924	1.05659	2.22275	0.83423	10.51234	6.58966	6.2706	7.60258	2.03977	4.25979	3.55332	8.69709	0.05352	1.31077	10.71532	0.06309	3.00957	9.45295
k__Bacteria|p__Fibrobacteres	0.0	0.04012	0.0	0.0	0.0366	0.37329	1.3802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19675	0.0938	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia	0.0	21.57481	18.40093	44.46598	26.21234	34.21213	30.07149	78.32905	74.05946	80.65303	59.37739	67.73523	65.61759	74.59221	76.67721	11.58371	24.89047	14.57355	16.58105	58.39161	32.82884	45.5364	30.77954	23.89742	19.68783	18.07301	11.10554	25.65382	20.33038
k__Bacteria|p__Verrucomicrobia|c__CFGB79351	0.0	16.82823	0.0	5.67649	2.35218	22.54874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25562	0.0	0.0	1.3446	0.85268	0.11637
k__Bacteria|p__Firmicutes|c__Clostridia	0.0	11.17747	14.97013	4.16449	9.7297	3.42023	9.37062	7.61289	8.04778	8.9291	9.00107	8.87251	13.4151	14.32143	7.45755	46.022	29.36786	57.90902	46.01249	19.89998	43.8469	20.04316	36.11407	8.03488	8.01557	20.17835	7.3957	6.64982	30.96116
k__Bacteria|p__Bacteroidota|c__CFGB7536	0.0	6.5312	0.83273	2.917	5.21452	0.0877	2.57769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.80152	0.89006	0.75943	0.5507	0.79297	0.22202
k__Bacteria|p__Firmicutes|c__CFGB39981	0.0	6.16919	10.66449	2.38818	6.04907	3.69615	3.6597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46424	0.0	3.77953	2.31465	0.00692	2.09336	4.20129	0.34334
k__Bacteria|p__Firmicutes|c__CFGB9571	0.0	5.94963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08083	0.0	0.21707	0.24125	0.90806	0.0
k__Bacteria|p__Firmicutes|c__CFGB9773	0.0	4.82172	0.58295	0.09412	0.0	0.16572	4.52094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.00427	0.0	0.0	2.70016	0.55979	0.0	0.0	0.16938
k__Bacteria|p__Bacteroidota|c__CFGB77857	0.0	4.33051	1.82875	1.37198	2.31329	9.22008	1.074	0.0	0.0	0.0	0.0	0.0	0.0	0.00629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44562	0.0	0.0	0.11886	0.06024	0.06422
k__Bacteria|p__Spirochaetes|c__CFGB48800	0.0	4.18108	16.37486	16.48299	33.45111	1.46673	16.41241	1.12818	0.25118	0.0	4.11725	0.98899	0.38571	0.0	0.39626	0.04225	0.58567	0.0	6.01802	0.46595	0.0	3.09036	0.34002	28.34632	23.25106	2.88926	60.34607	27.69746	10.12616
